slug,name,family,macroarea,glottocode,iso639_3,austlang,lat,lon,coord_provenance,coord_approximate,tier,endangerment,grammar_profiled,grammar_feature_count,lexicon_state,word_count,deep_time_divergence_bp,classification_chain
a101,Naaguja,unclassified,Australia,,,A101,-28.135541101863,114.76447121893,austlang,true,listed,unknown,false,,pointer_only,,,
a108,Nankilakuthu,unclassified,Australia,,,A108,,,none,,listed,unknown,false,,pointer_only,,,
a109,Martuyitha,unclassified,Australia,,,A109,,,none,,listed,unknown,false,,pointer_only,,,
a111,Windaga,unclassified,Australia,,,A111,,,none,,listed,unknown,false,,pointer_only,,,
a112,Ngoonooru,unclassified,Australia,,,A112,,,none,,listed,unknown,false,,pointer_only,,,
a113,Byro Wajarri,unclassified,Australia,,,A113,,,none,,listed,unknown,false,,pointer_only,,,
a114,Mileura Wajarri,unclassified,Australia,,,A114,,,none,,listed,unknown,false,,pointer_only,,,
a115,Nharnu,unclassified,Australia,,,A115,,,none,,listed,unknown,false,,pointer_only,,,
a116,Nyiyaparli Padupadu,unclassified,Australia,,,A116,,,none,,listed,unknown,false,,pointer_only,,,
a117,Banyjima Padupadu,unclassified,Australia,,,A117,,,none,,listed,unknown,false,,pointer_only,,,
a118,Ngarrka,unclassified,Australia,,,A118,,,none,,listed,unknown,false,,pointer_only,,,
a119,Kurdun,unclassified,Australia,,,A119,,,none,,listed,unknown,false,,pointer_only,,,
a120,Yirrakalan,unclassified,Australia,,,A120,,,none,,listed,unknown,false,,pointer_only,,,
a122,Kakutu / Kakurtu,unclassified,Australia,,,A122,,,none,,listed,unknown,false,,pointer_only,,,
a123,Ngulatu / Ngulartu,unclassified,Australia,,,A123,,,none,,listed,unknown,false,,pointer_only,,,
a16,Kuwarra,unclassified,Australia,,,A16,-28.182031703639,120.34536446621,austlang,true,listed,unknown,false,,pointer_only,,,
a20,Wilyara,unclassified,Australia,,,A20,-26.799611608385,120.41568813065,austlang,true,listed,unknown,false,,pointer_only,,,
a21,Gula,unclassified,Australia,,,A21,-27.99046024825,122.70200834255,austlang,true,listed,unknown,false,,pointer_only,,,
a22,Marawa,unclassified,Australia,,,A22,-28.771514280889,125.34638789354,austlang,true,listed,unknown,false,,pointer_only,,,
a27,Mudalga,unclassified,Australia,,,A27,-27.752210323925,123.65487413983,austlang,true,listed,unknown,false,,pointer_only,,,
a28,Bunggura,unclassified,Australia,,,A28,-27.28614140549,130.46337106064,austlang,true,listed,unknown,false,,pointer_only,,,
a44,Djungurdja,unclassified,Australia,,,A44,,,none,,listed,unknown,false,,pointer_only,,,
a5,Nungara,unclassified,Australia,,,A5,-30.288736633741,120.59501258947,austlang,true,listed,unknown,false,,pointer_only,,,
a70,Wadjiba,unclassified,Australia,,,A70,,,none,,listed,unknown,false,,pointer_only,,,
a71,Nhugarn,unclassified,Australia,,,A71,-25.804998816598,115.47622416926,austlang,true,listed,unknown,false,,pointer_only,,,
a74,Frazer Range,unclassified,Australia,,,A74,-32.175364004514,123.47446545531,austlang,true,listed,unknown,false,,pointer_only,,,
a75,Bundjuwanga,unclassified,Australia,,,A75,-21.087596240294,119.39719913486,austlang,true,listed,unknown,false,,pointer_only,,,
a78,Ju'una,unclassified,Australia,,,A78,-22.000762956078,119.45541305778,austlang,true,listed,unknown,false,,pointer_only,,,
a82,Wirdjaragandja,unclassified,Australia,,,A82,-26.304879382631,131.91107607403,austlang,true,listed,unknown,false,,pointer_only,,,
a84,Tarpuntjari,unclassified,Australia,,,A84,,,none,,listed,unknown,false,,pointer_only,,,
a85,Kurajarra,unclassified,Australia,,,A85,-22.909591398018,122.3629167104,austlang,true,listed,unknown,false,,pointer_only,,,
a90,Nyanyany,unclassified,Australia,,,A90,,,none,,listed,unknown,false,,pointer_only,,,
a91,Nyardi,unclassified,Australia,,,A91,-18.622991623929,125.27550390484,austlang,true,listed,unknown,false,,pointer_only,,,
a95,Natingero,unclassified,Australia,,,A95,-29.373824151559,118.3669992509,austlang,true,listed,unknown,false,,pointer_only,,,
a97,Cheangwa language,unclassified,Australia,,,A97,-27.49908684106,116.4015534839,austlang,true,listed,unknown,false,,pointer_only,,,
adja1238,Adjabdurah,Pama-Nyungan,Australia,adja1238,,,-34.69,137.535,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Arandic-Thura-Yura > Thura-Yura > Core Thura Yura > Southern Thura-Yura > Narungga
adny1235,Adnyamathanha,Pama-Nyungan,Australia,adny1235,adt,L10;L55,-30.1451,138.671,glottolog,false,comprehensive,shifting,true,168,live,24,1460.7,Pama-Nyungan > Arandic-Thura-Yura > Thura-Yura > Core Thura Yura > Northern Thura-Yura
aghu1254,Aghu Tharnggalu,Pama-Nyungan,Australia,aghu1254,ggr,Y198;Y65;Y94,-13.735,142.426,glottolog,false,documented,extinct,true,81,pointer_only,,1821.5,Pama-Nyungan > Paman > Alaya-Athima > Thaypanic
akar1244,Akarre,Pama-Nyungan,Australia,akar1244,,C28,-23.3583,135.046,glottolog,false,documented,unknown,false,,pointer_only,,,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Central-Eastern Arrernte > Eastern Arrernte
aker1238,Akerre,Pama-Nyungan,Australia,aker1238,,,-24.05052,133.24621,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Western Arrarnta
alaw1244,Alawa,Mangarrayi-Maran,Australia,alaw1244,alh,N92;N99,-15.5458,134.282,glottolog,false,comprehensive,nearly extinct,true,56,open_resource,20,,Mangarrayi-Maran > Maran
alng1239,Alngith,Pama-Nyungan,Australia,alng1239,aid,Y24;Y28;Y32;Y39;Y40,-12.5324,141.938,glottolog,false,documented,extinct,false,,pointer_only,,613.6,Pama-Nyungan > Paman > Northern Pama > Linngithigh-Alngith
alya1239,Alyawarr,Pama-Nyungan,Australia,alya1239,aly,C14;C29,-21.0427,136.835,glottolog,false,comprehensive,threatened,true,142,open_resource,4,748.5,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte
amar1271,Amurdak,Iwaidjan Proper,Australia,amar1271,amg,N47,-11.9876,132.878,glottolog,false,documented,nearly extinct,false,,open_resource,3,,Iwaidjan Proper
amii1238,Ami,Western Daly,Australia,amii1238,amy,N15,-13.5573,130.04,glottolog,false,documented,nearly extinct,true,212,pointer_only,,,Western Daly > Maranunggu-Ame-Manda > Ame-Manda
anda1282,Andadjin,Worrorran,Australia,anda1282,ajn,K64,-16.531222,127.693718,glottolog,false,documented,extinct,false,,pointer_only,,,Worrorran > Ngarinyin
ande1247,Andegerebinha,Pama-Nyungan,Australia,ande1247,adg,C12,-22.51278,137.3515,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Central-Eastern Arrernte
angg1238,Angkamuthi,Pama-Nyungan,Australia,angg1238,avm,Y7,-11.443,142.242,glottolog,false,documented,extinct,false,,pointer_only,,661.7,Pama-Nyungan > Paman > Northern Pama > Gudang-Northeast Paman > Northeast Paman > Uradhic > Yadhaykenu-Angkamuthi
angu1242,Anguthimri,Pama-Nyungan,Australia,angu1242,awg,Y20,-12.395,141.755,glottolog,false,comprehensive,extinct,true,32,live,495,499.2,Pama-Nyungan > Paman > Northern Pama > Albatross Bay > Anguthimri-Yangathimri-Yuputhimri > Anguthimri-Yangathimri
anin1240,Anindilyakwa,Gunwinyguan,Australia,anin1240,aoi,N151,-13.99904,136.6415,glottolog,false,comprehensive,shifting,true,153,live,591,,Gunwinyguan > Eastern Gunwinyguan > Wubuy-Anindilyakwa
anma1239,Anmatyerre,Pama-Nyungan,Australia,anma1239,amx,C8.1,-22.2853,133.286,glottolog,false,documented,shifting,false,,open_resource,2,684.6,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte
anta1253,Antakarinya,Pama-Nyungan,Australia,anta1253,ant,C5,-27.1152,134.838,glottolog,false,documented,nearly extinct,false,,live,30,,Pama-Nyungan > Desert Nyungic > Wati > Unclassified Wati
arab1267,Arabana,Pama-Nyungan,Australia,arab1267,ard,L13,-28.705,135.449,glottolog,false,documented,extinct,true,122,pointer_only,,31,Pama-Nyungan > Karnic > Palku > Arabana-Wangganguru
areb1238,Areba,Pama-Nyungan,Australia,areb1238,aea,Y107,-16.63548,142.63107,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman > Norman Pama > Kuthant-Gurdjar > Rib-Gurdjar
arit1239,Arritinngithigh,Pama-Nyungan,Australia,arit1239,rrt,Y229;Y34,-12.96,141.95,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman > Northern Pama
atam1239,Atampaya,Pama-Nyungan,Australia,atam1239,amz,Y183,-11.0018,142.273,glottolog,false,comprehensive,extinct,true,167,open_resource,1,,Pama-Nyungan > Paman > Northern Pama > Gudang-Northeast Paman > Northeast Paman > Uradhic
athi1234,Athima,Pama-Nyungan,Australia,athi1234,,,-17.2,142.4,glottolog,false,classified,extinct,false,,none,,,Pama-Nyungan > Paman > Alaya-Athima > Southwestern Alaya-Athima
awab1243,Awabakal,Pama-Nyungan,Australia,awab1243,awk,D63;E1;S62;S66;S99,-33.12847,151.43555,glottolog,false,comprehensive,extinct,true,80,live,45,936.2,Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Yuin-Kuri > Kuri > Hunter-Hastings
awab1244,Awabagal,Pama-Nyungan,Australia,awab1244,,,-33.12847,151.43555,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Yuin-Kuri > Kuri > Hunter-Hastings > Awabakal
awng1245,Awngtim,Pama-Nyungan,Australia,awng1245,gwm,Y185;Y23;Y31,-12.544,141.984,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Paman > Northern Pama > Albatross Bay > Tyanngayt-Mamngayt-Ntrwangayt-Ntrangit
ayab1239,Yintyinka-Ayabadhu,Pama-Nyungan,Australia,ayab1239,ayd,Y60,-14.6652,142.893,glottolog,false,documented,extinct,false,,pointer_only,,1059.5,Pama-Nyungan > Paman > Compromise Middle Pama > Northeastern Pama > Umbindhamuic
ayer1246,Ayerrerenge,Pama-Nyungan,Australia,ayer1246,axe,G12;G12.1,-23.699,133.88,glottolog,false,documented,extinct,false,,pointer_only,,,Pama-Nyungan > Arandic-Thura-Yura > Arandic > South Arandic > Upper Arrernte > Central-Eastern Arrernte > Andegerebinha
badi1246,Badimaya,Pama-Nyungan,Australia,badi1246,bia,A13;A14;A29;A41;A42;A49;A93,-29.0647,117.246,glottolog,false,documented,extinct,true,34,pointer_only,,1438.3,Pama-Nyungan > South-West Pama-Nyungan > Kartu-Nhanda > Kartu
badj1244,Badjirri,Pama-Nyungan,Australia,badj1244,jbi,D31,-28.79,145.47,glottolog,false,documented,extinct,false,,pointer_only,,2425.1,Pama-Nyungan > Karnic > Badjiri-Eastern Karnic
bagu1250,Bagundji,Pama-Nyungan,Australia,bagu1250,,,-32.7021,142.695,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Yarli-Baagandji > Paakantyi
balu1254,Balurbi,Pama-Nyungan,Australia,balu1254,,,-12.462,134.82,glottolog,false,classified,unknown,false,,none,,,Pama-Nyungan > Yuulngu > Western-Inland Yolngu > Djinang
band1358,Bandjalang,Pama-Nyungan,Australia,band1358,,,-28.937029,153.48612,glottolog,false,documented,unknown,false,,live,77,344.7,Pama-Nyungan > Southeastern Pama-Nyungan > New South Wales Pama-Nyungan > Greater Bandjalangic > Bandjalangic > Coastal Bandjalang > Lower Richmond
