ID,Parameter_ID,Language_ID,Value,Source
1,1,1,ganggaly-ganggaly,Source
2,1,1,gara-gara,Source
3,2,1,burduwimanha,Source
4,2,1,thulharayimanha,Source
5,3,1,bajabaja,Source
6,4,1,gumba,Source
7,5,1,baraga,Source
8,6,1,thulhara,Source
9,7,1,gardantha,Source
10,8,1,wajigarda,Source
11,9,1,gujurda,Source
12,10,1,gagurl,Source
13,11,1,gurru,Source
14,12,1,burlaguba,Source
15,13,1,buru,Source
16,14,1,mabarn,Source
17,15,1,baja,Source
18,16,1,wirru-wirru,Source
19,17,1,aburnun.gi,Source
20,18,1,tharlayi,Source
1,1,1,marruwa,source
2,1,1,biligan,source
3,1,1,gagi,source
4,2,1,burily-burily,source
5,3,1,ngalanthu,source
6,3,1,jibililiny,source
7,2,1,birl-birl,source
8,4,1,gurdabi,source
9,5,1,jarrudu,source
10,5,1,jarurru,source
11,6,1,nyurniman.gu,source
12,7,1,gurulhu,source
13,8,1,gawilgura,source
14,9,1,mirruguru,source
15,10,1,jarlbunja,source
16,2,1,buyin-buyin,source
17,11,1,galbi,source
18,12,1,girrgurda,source
19,13,1,girgi,source
20,14,1,wiraju,source
1,1,1,yarlgurangamanha,source  
2,1,1,gumurru,source  
3,1,1,yarlgu,source  
4,1,1,burdugaburla,source  
5,1,1,warri-warri,source  
6,1,1,nguba,source  
7,1,1,burrubi,source  
8,1,1,buthunmanha,source  
9,1,1,buumanmanha,source  
10,1,1,bunthu,source  
11,1,1,nganga,source  
12,1,1,bulygu,source  
13,1,1,baduwimanha,source  
14,1,1,gurraburda,source  
15,1,1,wajurdu,source  
16,1,1,iga,source  
17,1,1,murdu,source  
18,1,1,nyunjurl,source  
19,1,1,jirli,source  
20,1,1,nyili,source  
21,2,1,warri-warri,source  
22,2,1,yarlgurangamanha,source  
23,3,1,buthunmanha,source  
24,3,1,buumanmanha,source  
25,4,1,nguba,source  
26,4,1,burrubi,source  
27,5,1,yarlgu,source  
28,5,1,gumurru,source  
29,6,1,baduwimanha,source  
30,6,1,gurraburda,source  
31,7,1,iga,source  
32,7,1,murdu,source  
33,8,1,nyunjurl,source  
34,8,1,jirli,source  
35,9,1,nyili,source  
36,9,1,bunthu,source  
37,10,1,nganga,source  
38,10,1,bulygu,source  
39,11,1,burdugaburla,source  
40,11,1,warri-warri,source  
1,1,1,miniyarra,source1
2,1,1,thathanmanha,source1
3,1,1,nganggu,source1
4,1,1,ngarrga,source1
5,1,1,jura,source1
6,1,1,mayu,source1
7,2,1,ngarn-ngarn,source1
8,1,1,gurdiri,source1
9,1,1,gurdiriyimanha,source1
10,1,1,birri,source1
11,1,1,birrimarda,source1
12,1,1,wagula,source1
13,1,1,biriny,source1
14,1,1,bagiyarramanmanha,source1
15,1,1,magabarndi,source1
16,1,1,garlbajimanha,source1
17,1,1,ijadangamanha,source1
18,1,1,garlbajunmanha,source1
19,1,1,gula,source1
20,1,1,bunthu,source1
1,1,1,nyuwilimanha,Source
2,1,1,ngulamanha,Source
3,1,1,ngulajimanha,Source
4,2,1,banagarri,Source
5,2,1,wirluu,Source
6,3,1,ngarrul-ngarrul,Source
7,4,1,gardabayinmanha,Source
8,5,1,nyambi,Source
9,6,1,mama garrimanha,Source
10,7,1,maru,Source
11,8,1,manayimanha,Source
12,1,1,mungaly-mungalyimanha,Source
13,1,1,mungayimanha,Source
14,1,1,ngardunggayimanha,Source
15,1,1,ngarduwimanha,Source
16,4,1,widiyimanha,Source
17,1,1,mungamanmanha,Source
18,1,1,mungalimanha,Source
19,1,1,mungalyimanha,Source
20,4,1,thuri gulayimanha,Source
1,1,1,yalibirri,Source
2,1,1,murru,Source
3,1,1,ngarlbu,Source
4,1,1,irli,Source
5,2,1,wajiyimanha,Source
6,2,1,injun,Source
7,2,1,yarndamanmanha,Source
8,2,1,thagulangumanha,Source
9,2,1,ungilimayimanha,Source
10,2,1,thugurru,Source
11,2,1,yanhalbamanha,Source
12,1,1,yugurla,Source
13,1,1,mungaly-mungaly,Source
14,1,1,miruguru,Source
15,1,1,ugudungu,Source
16,2,1,thardinmanha,Source
17,2,1,nyurlargunmanha,Source
18,1,1,guru,Source
19,1,1,jurla,Source
20,1,1,nganiminy,Source
1,1,1,warlu-warlurang,Reduplication
2,1,1,gulyi-gulyi,Reduplication
3,1,1,induly-induly,Reduplication
4,2,1,ngumulimanha,Suffix
5,5,1,banggumanmanha,Suffix
6,5,1,bangguwimanha,Suffix
7,5,1,banggumarrijimanha,Suffix
8,3,1,thathara,Semantic Category
9,3,1,tharrangara,Semantic Category
10,4,1,barndiyimanha,Suffix
11,4,1,gula-gulayimanha,Suffix
12,6,1,majururru,Semantic Category
13,6,1,mundu,Semantic Category
14,6,1,budarda,Semantic Category
15,6,1,bandanawu,Semantic Category
16,7,1,gajiyi,Semantic Category
17,7,1,bilyga,Semantic Category
1,1,Wajarri,garalangu,Source
2,1,Wajarri,balu,Source
3,1,Wajarri,maga,Source
4,1,Wajarri,ganjari,Source
5,2,Wajarri,bundu-bundulangamanha,Source
6,1,Wajarri,gudurdu,Source
7,1,Wajarri,gurdurdu,Source
8,2,Wajarri,garlangamanha,Source
9,2,Wajarri,garlamanmanha,Source
