ID,Parameter_ID,Language_ID,Value,Source
reduplication-0,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-2,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-person-3,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-7,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-10,semantic-field,wbv,body-part,Wajarri Dictionary
reduplication-11,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-15,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-28,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-37,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-38,word-formation,wbv,compound,Wajarri Dictionary
compound-44,word-formation,wbv,compound,Wajarri Dictionary
reduplication-45,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-45,semantic-field,wbv,person/human,Wajarri Dictionary
semantic-body-56,semantic-field,wbv,body-part,Wajarri Dictionary
reduplication-58,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-68,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-75,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-78,semantic-field,wbv,body-part,Wajarri Dictionary
compound-81,word-formation,wbv,compound,Wajarri Dictionary
reduplication-85,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-103,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-105,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-106,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-107,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-112,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-113,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-114,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-115,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-123,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-132,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-152,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-153,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-157,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-158,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-158,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-163,semantic-field,wbv,water/liquid,Wajarri Dictionary
compound-165,word-formation,wbv,compound,Wajarri Dictionary
reduplication-169,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-180,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-180,semantic-field,wbv,water/liquid,Wajarri Dictionary
compound-182,word-formation,wbv,compound,Wajarri Dictionary
reduplication-185,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-187,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-197,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-204,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-211,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-body-212,semantic-field,wbv,body-part,Wajarri Dictionary
compound-220,word-formation,wbv,compound,Wajarri Dictionary
semantic-person-220,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-224,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-228,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-229,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-body-256,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-266,semantic-field,wbv,water/liquid,Wajarri Dictionary
reduplication-267,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-272,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-person-282,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-284,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-285,morphological-process,wbv,reduplication,Wajarri Dictionary
reduplication-295,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-303,semantic-field,wbv,body-part,Wajarri Dictionary
reduplication-306,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-body-308,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-water-329,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-330,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-331,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-332,semantic-field,wbv,water/liquid,Wajarri Dictionary
compound-337,word-formation,wbv,compound,Wajarri Dictionary
reduplication-344,morphological-process,wbv,reduplication,Wajarri Dictionary
semantic-water-356,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-357,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-person-361,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-374,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-376,word-formation,wbv,compound,Wajarri Dictionary
semantic-body-385,semantic-field,wbv,body-part,Wajarri Dictionary
semantic-person-402,semantic-field,wbv,person/human,Wajarri Dictionary
reduplication-405,morphological-process,wbv,reduplication,Wajarri Dictionary
compound-411,word-formation,wbv,compound,Wajarri Dictionary
semantic-water-435,semantic-field,wbv,water/liquid,Wajarri Dictionary
semantic-water-436,semantic-field,wbv,water/liquid,Wajarri Dictionary
compound-452,word-formation,wbv,compound,Wajarri Dictionary
