ID,Parameter_ID,Language_ID,Value,Source
phoneme-inventory-size,phoneme-inventory,gvn,16,§2.1
consonant-count,consonant-count,gvn,13,§2.1
vowel-count,vowel-count,gvn,3,§2.1
lateral-consonant-count,lateral-count,gvn,1,§2.1.1
rhotic-consonant-count,rhotic-count,gvn,2,§2.1.1
semivowel-count,semivowel-count,gvn,2,§2.1.1
stop-aspiration,stop-aspiration,gvn,no,§2.1.1
voiced-voiceless-distinction,voiced-voiceless,gvn,no,§2.1.1
vowel-inventory-count,vowel-count,gvn,3,§2.1.2
vowel-articulation-type,pure-articulation,gvn,yes,§2.1.2
vowel-length-distinction,vowel-length,gvn,no,§2.1.2
vowel-classification,vowel-classification,gvn,short,§2.1.2
vowel-variation,vowel-variation,gvn,little,§2.1.2
root-syllable-structure,syllable-structure,gvn,"C1 (V C2)n V (C3) where n ≥ 1",§2
root-syllable-count,disyllabic-roots,gvn,"majority disyllabic",§2
monosyllabic-roots,monosyllabic-roots,gvn,no,§2
trisyllabic-roots,trisyllabic-roots,gvn,200,§2
four-syllable-roots,four-syllable-roots,gvn,81,§2
five-syllable-roots,five-syllable-roots,gvn,4,§2
phonotactic-structure,vowel-allowed,gvn,any,§2.2.1
phonotactic-structure,c1-consonant-type,gvn,stop-nasal-semivowel,§2.2.1
phonotactic-structure,c2-consonant-type,gvn,any-single-or-cluster,§2.2.1
phonotactic-structure,c3-consonant-type,gvn,non-peripheral-nasal-lateral-rhotic-lamino-palatal,§2.2.1
intermorphemic-cluster-restriction,geminate-consonants,gvn,no,§2.2.1
phonological-adaptation,loan-words-adapted,gvn,yes,§2.3
phonological-adaptation-ceased,loan-words-adaptation-ceased,gvn,true,§2.3
bilingualism,english-bilingualism,gvn,present,§2.3
phonotactics,initial-consonant-permitted,gvn,no,§2.3
loan-words-integral,integral-loan-words,gvn,score,§2.3
phonetic-assimilation-count,assimilation-count,gvn,3,§2.4
assimilation-rule-1,regressive-assimilation-1,gvn,present,§2.4
assimilation-rule-2,regressive-assimilation-2,gvn,present,§2.4
assimilation-rule-3,regressive-assimilation-3,gvn,present,§2.4
palatalisation-strength,vowel-palatalisation-strength,gvn,stronger-with-a,§2.4
phonemic-distinction-negation,phonemic-distinction-negation,gvn,true,§2.4
variation-in-labialisation,labialisation-variation,gvn,true,§2.4
vowel-harmony,present,gvn,yes,§2.5.1
semivowel-deletion-rule,semivowel-deletion,gvn,present,§2.5.2
final-semivowel-absence,final-semivowel-absence,gvn,true,§2.5.2
inflectional-allomorphs,inflectional-allomorphs,gvn,present,§2.5.2
nonpast-inflection-absence,nonpast-inflection-absence,gvn,true,§2.5.2
syllable-reduction,locative-reduction,gvn,yes,§2.5.3
syllable-reduction,causative-reduction,gvn,yes,§2.5.3
syllable-reduction,reduplication-norm,gvn,yes,§2.5.3
reduplication-pattern,first-syllable-reduplication,gvn,4,§2.5.3
reduplication-pattern,second-syllable-reduplication,gvn,3,§2.5.3
